title,description,id_mode,price,id_category,address_description,google_maps,latitude,longitude,dimension,services,amenities,county,district,currency,zone,Province,Pisos,Terraza,Habitaciones,Huéspedes,Camas,Baños,Piso,Tamaño,tipoComercial,Casas,Húespedes,Jardín,Niveles,Balcón o Terraza,Cantidad de parrillas,Azotea,Área social,Disponible desde,Cantidad de piscinas,tipoFinca,tipoTerreno,Dimensión,Tipo de terreno,Zonificación,Balcón
"Hermoso Apartamento 
","VENTA APARTAMENTO PARA INVERSIONISTA  CON INQUILINO 
Vía 74. $197,000.  (rentabilidad $1300 por mes)

1 hab, 1 bño 1 prk. 70 mts habitable + 15 mts parqueo. 

401 RF",1,101546392.0,6,"Calle 78A, Pavas, 10109, San José, Costa Rica","https://www.google.com/maps?q=9.9397845,-84.1144457",9.9397845,-84.1144457,0m²,"wifi, piscina, gimnasio, estacionamiento",,,,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hermosa propiedad 
","Terreno en Zona de Alta plusvalía y crecimiento Comercial, frente a Calle principal en Piedades Centro Santa Ana 
Ideal para Casa/Oficina/Consultorio/Comercio:

Precio ¢160 millones negociable
Se puede recibir propiedad de menor valor
Terreno 381 m2
Total Area construida 250m2 distribuidos en:

- Edificación de 150 m2 en una planta:
3 cuartos/oficinas de 3x3m
1 cuarto principal/ Oficina 4x5m
2 baños completos / 1 baño (requiere reparaciones)
Cocina
Area Sala
1 Area de estudio/Bodega
Area de pilas
Corredor o parqueo bajo techo para 2 carros y un espacio al aire libre para
2 carros mas.

-3 Apartamentos actualmente alquilados en ¢150.000 cada uno con mucho potencial para mejoras y ampliacion, cada uno cuenta con:
1 Dormitorio
1 Baño completo
Sala y cocineta

Precio ¢160 millones negociable
Se puede recibir propiedad de menor valor

Agenda tu cita al 7050 2236 
RF",1,82474227.0,1,"Piedades centro, Piedades, 10905, San José, Costa Rica","https://www.google.com/maps?q=9.9295287,-84.2155139",9.9295287,-84.2155139,0m²,estacionamiento,,,,CRC,,,1.0,No,4.0,9.0,5.0,2.0,,,,,,,,,,,,,,,,,,,
BELL APARTAMENTO STUDIO EN OASIS APARTOTEL SABANA NORTE,"Se Alquila Apartamento amueblado de 2 habitaciones en Sabana 
Área Habitable: 51 m²
Precio: $1000 más depósito 

Si estás buscando un apartamento espacioso y cómodo, nuestro apartamento de dos habitaciones es la opción perfecta para vos. ¡Conocé todo lo que tiene para ofrecerte!

Este apartamento cuenta con:

🛏️ Dormitorio principal con cama doble
🛏️ Dormitorio adicional con dos camas individuales
🛋️ Amplia sala-comedor con sofá-cama
🍽️ Cocina completamente equipada
📏 Área Habitable: 51 m²
Precio: $1000

Con su amplia distribución y excelente ubicación, este apartamento es ideal para vos y tu familia o amigos. Si querés verlo en persona, mándame un WhatsApp al 7050 2236 y coordinamos una visita. 📲

Amenidades: Piscina, sauna, wifi, lavandería, parqueo, aire acondicionado y sala de reuniones. 

¡No te pierdas la oportunidad de vivir en La Sabana Oasis!

#LaSabana #apartamentoslasabana #ApartamentosSanJosé #apartamentoenalquiler #apartamentosdoshabitaciones #petfriendlyapartments #lasabanaoasis",2,567010.0,15,"Acera Sabana Norte, Mata Redonda, 10108, San José, Costa Rica","https://www.google.com/maps?q=9.9381184,-84.1037392",9.9381184,-84.1037392,0m²,"wifi, piscina, estacionamiento, aire acondicionado, agua, electricidad, limpieza","tv, lavadora, secadora",,,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bello Apartamento en Sabana Nort,"Alquiler Apartamento en Sabana, Condominio Núcleo 
41.0 m² 
Recámaras: 1 
Baños: 1 
Estacionamientos:1
Exclusico apartamento de una habitación y un baño, totalmente amueblado, cocina abierta con desayunador y un lindo balcón, perfecto para momentos inolvidables. 
Precio de Renta: 1.200 USD
 Año de Construcción: 2021
 Niveles construidos: 21
 Número de elevadores: 4

El Condominio ofrece amenidades espectaculares: una hermosa piscina donde podrás disfrutar del clima de Costa Rica, parque para niños, tres terrazas temáticas para pasar tardes maravillosas, Co-working, Cinema para ver las mejores películas, salón de juegos, gimnasio, karaoke, ranchos con BBQ y un Gastro Club",2,618557.0,6,"Sabana norte , 10103, San José, Costa Rica","https://www.google.com/maps?q=9.942862649999999,-84.09699849458426",9.942862649999999,-84.09699849458426,0m²m²,"wifi, piscina, estacionamiento, aire acondicionado, agua, electricidad, limpieza, gimnasio","tv, lavadora, secadora",,,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alquiler de Apartamento ,"SE ALQUILA APARTAMENTO DE 2 HABITACIONES EN SABANILLA SAN PEDRO DE MONTES DE OCA 
285 mil colones más depósito mismo monto 
Incluye el agua, vigilancia y un parqueo

En Condominio familiar 
Complejo de apartamentos en Tercer piso con gradas 

Un lugar muy tranquilo rodeado de Naturaleza 

2 habitaciones 
Cocina 
Sala 
Baño
Area de lavado 
Mide aproximadamente 74m2

Yo te asesoro🏬
   Puedes comunicarte al 
WA.Me/50670502236 

#realestatecostarica #realestatecr #costarica #sabana #apartamentoscr #torrescostarica #bienesraicescr #bienesarices #realtorscr #apartamentos #edificioscr #skygarden #babyloncore  #airbnbcr #alquileresensabana #Scretapartamentos #Iconnia  #hiltonsabana  ",2,285000.0,2,"Sabanilla de montes de Oca , Sabanilla, 11502, San José, Costa Rica","https://www.google.com/maps?q=9.9447846,-84.032736",9.9447846,-84.032736,74m²,"agua, estacionamiento",,,,CRC,,,,,2.0,3.0,0.0,1.0,3.0,74.0,,,,,,,,,,,,,,,,,
Apartamento en Núcleo ,"Alquiler Apartamento en Sabana, Condominio Núcleo de 1 habitación Amueblado 
Precio de Renta: 1.200 USD más depósito 
  41.0 m² 

Recámaras: 1 
Baños: 1 
Estacionamientos:1
Exclusico apartamento de una habitación y un baño, totalmente amueblado, cocina abierta con desayunador y un lindo balcón, perfecto para momentos inolvidables. 
Precio de Renta: 1.200 USD
 Año de Construcción: 2021
 Niveles construidos: 21
 Número de elevadores: 4

El Condominio ofrece amenidades espectaculares: una hermosa piscina donde podrás disfrutar del clima de Costa Rica, parque para niños, tres terrazas temáticas para pasar tardes maravillosas, Co-working, Cinema para ver las mejores películas, salón de juegos, gimnasio, karaoke, ranchos con BBQ y un Gastro Club

Puedes comunicarte al 
WA.Me/50670502236",2,618557.0,7,"Sabana Norte , 10103, San José, Costa Rica","https://www.google.com/maps?q=9.942862649999999,-84.09699849458426",9.942862649999999,-84.09699849458426,0m²,"wifi, piscina, gimnasio, estacionamiento",,,,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local cerca del Mall San Pedro ,"SE ALQUILA OFICINA,  barrio los Yoses de San Pedro, muy bien ubicado cerca del Mall. 

🔴 precio ₡400,000 
🔴1 baño 
🔴 cocina
🔴 amplia sala 
🔴 no incluye servicios
",2,400000.0,8,"En los yoses , 11501, San José, Costa Rica","https://www.google.com/maps?q=9.9304836,-84.0593926",9.9304836,-84.0593926,55m²,estacionamiento,,,,CRC,,,,,1.0,0.0,,,,55.0,Oficina ,,,,,,,,,,,,,,,,
Alquiler Local Restaurante ,"🪅CONTiGUO ANTIGUA ESMERALDA 🇨🇷💃
LOCAL EN ALQUILER SAN JOSE CENTRO 

¡Se alquila local comercial de dos plantas en San José centro $6000+IVA. Alquiler. Depósito $6000.  
Primer planta 440m2 
Segunda planta 400 m2.
en una zona de alto flujo peatonal!

Estratégica ubicación, cerca de paradas de buses, garantiza una excelente visibilidad y tráfico constante de personas.

Mayores Informes ",2,3092784.0,8,"Cintiguo a Antigua Esmeralda , Hospital, 10103, San José, Costa Rica","https://www.google.com/maps?q=9.9325427,-84.0795782",9.9325427,-84.0795782,0m²,estacionamiento,,,,CRC,,,,,0.0,0.0,,,,,Local restaurante ,,,,,,,,,,,,,,,,
Apartamento tipo casa NO DISPONIBLE ALQUILADA,"Alquiler de Apartamento en Rohrmoser
 1 y 5
COMPLEJO de Apartamentos . muy cómodos, lugar muy seguro, localizados cerca de supermercados, escuela, Colegios. Bancos. CERCA DEL TOBIAS BOLAÑOS
💵 Precio: ₡430 mil colones+ depósito de igual monto. 

-  3 cuartos
-  2 baños
- mascotas 1 y pequeña. 
- Área de lavado ( cuarto pilas) 
- Sala-Comedor
- planta baja

INCLUYE AGUA.
Para parejas y familias. 
El ambiente es muy tranquilo y se busca personas con buenas costumbres y principios. MAX 4 PERSONAS.

 1  Cochera (no hay espacio para adicional)

",2,430000.0,4,"Pavas Rohrmoser , Pavas, 10109, San José, Costa Rica","https://www.google.com/maps?q=9.9492624,-84.1235518",9.9492624,-84.1235518,0m²,estacionamiento,,,,CRC,,,,,,,,,,,,1.0,4.0,,,,,,,,,,,,,,
Apartamento en Torre Iconnia ,"♦️DISPONIBLE PARA VENTA♦️ 
Se Vende Precioso Apartamento Full amueblado 
EXCLUSIVA ZONA HERMOSA VISTA✨️✨️
📍Torre Iconnia, San José, Sabana Norte 
$171.000
Ideal para Inversionista ya cuenta con inquilino con contrato por 1 año generando $1000 mensual 

1 Habitación
1.5 baños 
Balcon 
Cocina 
Sala Comedor 
Cuarto de lavado 
1 espacio de parqueo 1 espacio de visitas 
Incluye cuota de mantenimiento 

Amenidades como:
Gimnasio
 Piscina infinity 
Sala de cine 
Área Social 
Área de Coworking 
Vista espectacular 360

$158 de amenidades mensual 
Agua fijo 8000 colones mensuales 

Puedes comunicarte al 
WA.Me/50670502236

#RocheCostaRicaCampus 
#realtorscr #bienesarices #sabana #apartamentoscr #costarica #RealEstateCR #torrescostarica #bienesraicescr #apartamentos #realestatecostarica #sabananorte",1,88144330.0,7,"200 metros norte del hotel Hilton , Mata Redonda, 10108, San José, Costa Rica","https://www.google.com/maps?q=9.9417752,-84.1056212652438",9.9417752,-84.1056212652438,0m²,"wifi, piscina, gimnasio, estacionamiento, agua, electricidad","secadora, lavadora, tv",,,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en Torre Rohrmoser ,"EN VENTA APARTAMENTO EN TR ROHRMOSER 
2habitaciones 
401RF

 2hab, 2 baños, 1 parqueo.
 70 mts habitables 
$205,000 sin muebles $212,000 con muebles. (listo para ser habitado)",1,105670103.0,7,"Avenida 7, Mata Redonda, 10108, San José, Costa Rica","https://www.google.com/maps?q=9.9401479,-84.1087833816681",9.9401479,-84.1087833816681,0m²,"wifi, piscina, gimnasio, estacionamiento",,,,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,
